"prod_number","client_name","fulfillment_center_name","po_number","0-7 days","16-23 days","24-31 days","32-45 days","46-60 days","61-90 days","8-15 days",">90 days"
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180712-999137",0,1,0,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180724-1033270",0,0,0,0,0,0,1,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180723-1030249",0,0,0,0,0,0,95,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180703-965733",0,0,1,0,0,0,0,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180703-966396",0,0,1,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180712-999227",0,1,0,0,0,0,0,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180703-966623",0,0,1,0,0,0,0,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180703-966290",0,0,1,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1045553",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1046604",1,0,0,0,0,0,0,0
"174500733","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1051587",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054935",1,0,0,0,0,0,0,0
"172703969","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055194",1,0,0,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055222",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055414",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055627",1,0,0,0,0,0,0,0
"183924479","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180711-996067",0,15,0,0,0,0,0,0
"172723877","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180719-1021946",0,0,0,0,0,0,1,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180724-1033288",0,0,0,0,0,0,1,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180714-1009234",0,1,0,0,0,0,0,0
"172723880","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180728-1049237",1,0,0,0,0,0,0,0
"172723880","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180728-1049181",1,0,0,0,0,0,0,0
"174500733","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1058475",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180717-1017111",0,0,0,0,0,0,18,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180717-1017111",0,0,0,0,0,0,2,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180723-1033137",0,0,0,0,0,0,1,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180724-1036596",1,0,0,0,0,0,0,0
"172723880","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1046662",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1047016",1,0,0,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054445",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054868",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054874",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055227",1,0,0,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180723-1033143",0,0,0,0,0,0,1,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180723-1033175",0,0,0,0,0,0,1,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180728-1047046",1,0,0,0,0,0,0,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180728-1047045",1,0,0,0,0,0,0,0
"172704081","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180728-1049178",1,0,0,0,0,0,0,0
"172723880","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180728-1049191",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054789",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054828",1,0,0,0,0,0,0,0
"172723880","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054937",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054945",1,0,0,0,0,0,0,0
"172723880","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055182",1,0,0,0,0,0,0,0
"187798916","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055188",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055280",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1056306",1,0,0,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180712-999210",0,1,0,0,0,0,0,0
