"client_name","FC Name","AGN Number","PO Number","Product Number","Expected Quantity","Received","QC Accepted","TBQ","REJ","Shortage"
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182794816","PO-20180731-1057002","174500733",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182794697","PO-20180731-1057009","172723880",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182801510","PO-20180731-1057019","174500733",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182772777","PO-20180731-1057025","174500737",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182794891","PO-20180731-1057045","174500733",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182766782","PO-20180731-1057084","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182794943","PO-20180731-1057094","172723877",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182784384","PO-20180731-1057252","172704081",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182784307","PO-20180731-1057270","172704081",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182781946","PO-20180731-1057392","174500733",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1227184218096","PO-20180731-1058164","183924682",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182781401","PO-20180731-1058384","174500733",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182781670","PO-20180731-1058420","174500733",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182781197","PO-20180731-1058458","174500733",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182781524","PO-20180731-1058475","174500733",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1950311340944","PO-20180731-1058487","153469322",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1256182828609","PO-20180731-1059382","172817882",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1950311339614","PO-20180731-1059541","172723877",1,1,1,0,0,0
"RSR INFORMATICS PVT-PAYTM","DELFC4","1950360831235","PO-20180731-1059772","174500737",1,1,1,0,0,0
